generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
numpy_pcg64,58,105.8000000000,124,0.8799524809,0.1200475191,0.2400950381,59,102,8.2618438932
numpy_pcg64,59,99.3500000000,124,0.9494858557,0.05051414431,0.1010282886,62,99,8.0060461024
numpy_pcg64,60,147.9000000000,124,0.07057324492,0.9294267551,0.1411464898,50,106,9.7682831060
numpy_pcg64,61,115.5250000000,124,0.6943929917,0.3056070083,0.6112140166,58,104,8.6332067081
numpy_pcg64,62,112.0500000000,124,0.7709477885,0.2290522115,0.4581044229,64,100,8.5023715857
numpy_pcg64,63,154.4500000000,124,0.03316006166,0.9668399383,0.06632012331,49,106,9.9822422977
numpy_pcg64,64,109.3250000000,124,0.8234541758,0.1765458242,0.3530916484,56,101,8.3983485320
numpy_pcg64,65,118.9500000000,124,0.6112736186,0.3887263814,0.7774527628,56,103,8.7602474556
numpy_pcg64,66,92.5250000000,124,0.9844182646,0.01558173537,0.03116347074,56,105,7.7261600027
numpy_pcg64,67,145.1750000000,124,0.09397361985,0.9060263801,0.1879472397,58,103,9.6778763333
numpy_pcg64,68,113.6750000000,124,0.7363468722,0.2636531278,0.5273062556,56,102,8.5638022909
numpy_pcg64,69,127.7750000000,124,0.3899052641,0.6100947359,0.7798105282,57,106,9.0793988717
numpy_pcg64,70,132.7250000000,124,0.2797248043,0.7202751957,0.5594496086,51,104,9.2535956394
numpy_pcg64,71,127.3750000000,124,0.3994954503,0.6005045497,0.7989909006,62,109,9.0651761900
numpy_pcg64,72,113.7750000000,124,0.7341450732,0.2658549268,0.5317098536,49,98,8.5675682551
numpy_pcg64,73,111.7250000000,124,0.7775871665,0.2224128335,0.444825667,55,100,8.4900321060
numpy_pcg64,74,135.1250000000,124,0.2331859663,0.7668140337,0.4663719326,58,111,9.3368848850
numpy_pcg64,75,123.7500000000,124,0.4894407943,0.5105592057,0.9788815886,60,109,8.9352509577
numpy_pcg64,76,106.9250000000,124,0.8633732002,0.1366267998,0.2732535996,60,99,8.3056529525
numpy_pcg64,77,150.9250000000,124,0.05037142227,0.9496285777,0.1007428445,55,106,9.8676728635
numpy_pcg64,78,139.1000000000,124,0.1674185746,0.8325814254,0.3348371491,59,103,9.4732220223
numpy_pcg64,79,140.4250000000,124,0.1486828915,0.8513171085,0.2973657829,54,118,9.5182337749
numpy_pcg64,80,138.5750000000,124,0.1752805422,0.8247194578,0.3505610845,61,109,9.4553279058
numpy_pcg64,81,112.1000000000,124,0.7699177297,0.2300822703,0.4601645406,56,100,8.5042683780
numpy_pcg64,82,157.4500000000,124,0.02275437923,0.9772456208,0.04550875845,58,108,10.0787223973
