case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,684,2.0,-1592.0,-1.768888888888889,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.07666666666666666
L30_T2,685,2.0,-1600.0,-1.7777777777777777,840,0.9333333333333333,0.9333333333333333,0.8711111111111112,0.06777777777777778
L30_T2,686,2.0,-1568.0,-1.7422222222222221,826,0.9177777777777778,0.9177777777777778,0.8423160493827161,0.07222222222222222
L30_T2,687,2.0,-1588.0,-1.7644444444444445,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.07555555555555556
L30_T2,688,2.0,-1612.0,-1.791111111111111,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.07
L30_T2,689,2.0,-1552.0,-1.7244444444444444,806,0.8955555555555555,0.8955555555555555,0.8020197530864197,0.0811111111111111
L30_T2,690,2.0,-1564.0,-1.7377777777777779,806,0.8955555555555555,0.8955555555555555,0.8020197530864197,0.08222222222222222
L30_T2,691,2.0,-1580.0,-1.7555555555555555,818,0.9088888888888889,0.9088888888888889,0.8260790123456789,0.07777777777777778
L30_T2,692,2.0,-1504.0,-1.6711111111111112,790,0.8777777777777778,0.8777777777777778,0.7704938271604939,0.09111111111111111
L30_T2,693,2.0,-1460.0,-1.6222222222222222,764,0.8488888888888889,0.8488888888888889,0.7206123456790124,0.11444444444444445
L30_T2,694,2.0,-1556.0,-1.728888888888889,810,0.9,0.9,0.81,0.09888888888888889
L30_T2,695,2.0,-1576.0,-1.751111111111111,832,0.9244444444444444,0.9244444444444444,0.8545975308641974,0.07666666666666666
L30_T2,696,2.0,-1532.0,-1.7022222222222223,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.08666666666666667
L30_T2,697,2.0,-1540.0,-1.711111111111111,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.08666666666666667
L30_T2,698,2.0,-1560.0,-1.7333333333333334,824,0.9155555555555556,0.9155555555555556,0.838241975308642,0.08666666666666667
L30_T2,699,2.0,-1564.0,-1.7377777777777779,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.08
L30_T2,700,2.0,-1592.0,-1.768888888888889,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.06777777777777778
L30_T2,701,2.0,-1676.0,-1.8622222222222222,862,0.9577777777777777,0.9577777777777777,0.9173382716049382,0.05555555555555555
L30_T2,702,2.0,-1648.0,-1.8311111111111111,856,0.9511111111111111,0.9511111111111111,0.9046123456790124,0.04555555555555556
L30_T2,703,2.0,-1620.0,-1.8,846,0.94,0.94,0.8835999999999999,0.05444444444444444
