order,sweep,E_per_spin,m,abs_m
random,249,-1.2933333333333332,-0.03333333333333333,0.03333333333333333
random,250,-1.2977777777777777,-0.02,0.02
random,251,-1.3066666666666666,0.017777777777777778,0.017777777777777778
random,252,-1.271111111111111,0.057777777777777775,0.057777777777777775
random,253,-1.3333333333333333,0.06888888888888889,0.06888888888888889
random,254,-1.3244444444444445,0.13333333333333333,0.13333333333333333
random,255,-1.4177777777777778,0.06444444444444444,0.06444444444444444
random,256,-1.3511111111111112,0.024444444444444446,0.024444444444444446
random,257,-1.3866666666666667,0.008888888888888889,0.008888888888888889
random,258,-1.3955555555555557,0.04888888888888889,0.04888888888888889
random,259,-1.3644444444444443,0.05333333333333334,0.05333333333333334
random,260,-1.3511111111111112,0.08222222222222222,0.08222222222222222
random,261,-1.271111111111111,0.042222222222222223,0.042222222222222223
random,262,-1.3244444444444445,0.0022222222222222222,0.0022222222222222222
random,263,-1.3155555555555556,-0.044444444444444446,0.044444444444444446
random,264,-1.2533333333333334,-0.042222222222222223,0.042222222222222223
random,265,-1.3022222222222222,-0.07111111111111111,0.07111111111111111
random,266,-1.3066666666666666,-0.051111111111111114,0.051111111111111114
random,267,-1.3911111111111112,-0.10888888888888888,0.10888888888888888
random,268,-1.2844444444444445,-0.11555555555555555,0.11555555555555555
random,269,-1.3377777777777777,-0.14666666666666667,0.14666666666666667
random,270,-1.2844444444444445,-0.17777777777777778,0.17777777777777778
random,271,-1.3555555555555556,-0.20222222222222222,0.20222222222222222
random,272,-1.3244444444444445,-0.2288888888888889,0.2288888888888889
random,273,-1.2933333333333332,-0.22666666666666666,0.22666666666666666
random,274,-1.3288888888888888,-0.21555555555555556,0.21555555555555556
random,275,-1.2622222222222221,-0.19555555555555557,0.19555555555555557
random,276,-1.24,-0.20666666666666667,0.20666666666666667
random,277,-1.2533333333333334,-0.18666666666666668,0.18666666666666668
random,278,-1.1555555555555554,-0.17333333333333334,0.17333333333333334
random,279,-1.0933333333333333,-0.17555555555555555,0.17555555555555555
random,280,-1.1066666666666667,-0.13777777777777778,0.13777777777777778
random,281,-1.0577777777777777,-0.1511111111111111,0.1511111111111111
random,282,-1.1733333333333333,-0.16666666666666666,0.16666666666666666
